Area	long	lat	year	houseSales	meanHousePrice	MedianHousePrice	populationOfTaxPayers	meanAnnualSalary	MedianAnnualSalary	weeklyRent
Enfield	51.6537	-0.0849	2014	3687	350007	285000	137000	34400	25300	103
Enfield	51.6537	-0.0849	2015	3505	389903	331000	139000	34600	25100	102
Enfield	51.6537	-0.0849	2016	3061	450294	385000	144000	34600	25400	101
Enfield	51.6537	-0.0849	2017	2612	463806	402500	144000	36200	26300	100
Enfield	51.6537	-0.0849	2018	2400	480000	420000	143000	37200	27300	101
Enfield	51.6537	-0.0849	2019	2300	600000	440000	145000	39500	28300	101
Enfield	51.6537	-0.0849	2020	2200	520000	480000	137000	40700	29500	104
Enfield	51.6537	-0.0849	2021	2100	540000	500000	142000	42800	29900	106
Greenwich	51.4821	0.0048	1995	2540	73079	61500	78000	19000	15500	52
Greenwich	51.4821	0.0048	1996	3010	76051	64000	80000	19500	15800	53
Greenwich	51.4821	0.0048	1997	3443	82966	66000	82000	20000	15900	54
Greenwich	51.4821	0.0048	1998	3490	93892	75000	84000	20200	16000	56
Greenwich	51.4821	0.0048	1999	4316	111953	90000	86000	20700	16600	56
Greenwich	51.4821	0.0048	2000	3857	130980	106500	95000	22400	16000	55
Greenwich	51.4821	0.0048	2001	4840	148821	123995	91000	24000	18600	59
Greenwich	51.4821	0.0048	2002	5465	176529	150000	95000	22900	17000	61
Greenwich	51.4821	0.0048	2003	5003	194558	169995	91000	23300	17800	64
Greenwich	51.4821	0.0048	2004	5692	208339	180000	108000	23100	17100	65
Greenwich	51.4821	0.0048	2005	4734	225123	200000	109000	25500	18200	67
Greenwich	51.4821	0.0048	2006	5296	237557	209995	118000	27400	19200	71
Greenwich	51.4821	0.0048	2007	5225	260342	224000	118000	29900	20500	76
Greenwich	51.4821	0.0048	2008	2429	267688	230000	115000	30000	21000	78
Greenwich	51.4821	0.0048	2009	1969	264755	220000	113000	32800	21400	81
Greenwich	51.4821	0.0048	2010	2243	296528	245000	111000	30000	21300	82
Greenwich	51.4821	0.0048	2011	2570	296637	249995	117000	31000	21800	87
Greenwich	51.4821	0.0048	2012	2850	293544	245000	115000	31500	22600	93
Greenwich	51.4821	0.0048	2013	3485	330113	275000	110000	34200	23500	97
Greenwich	51.4821	0.0048	2014	4433	369977	317500	119000	34800	24600	102
Greenwich	51.4821	0.0048	2015	4060	401116	351000	121000	37300	25600	105
Greenwich	51.4821	0.0048	2016	3769	445432	395000	132000	37500	26000	104
Greenwich	51.4821	0.0048	2017	3305	462820	420000	124000	40200	27600	91
Greenwich	51.4821	0.0048	2018	3200	490000	440000	135000	41300	27400	90
Greenwich	51.4821	0.0048	2019	3100	500000	480000	127000	44700	30100	89
Greenwich	51.4821	0.0048	2020	3000	520000	500000	132000	46400	30600	92
Greenwich	51.4821	0.0048	2021	2950	560000	510000	136000	48900	31800	94
Hackney	51.545	-0.0553	1995	1774	71607	61975	68000	15000	13500	54
Hackney	51.545	-0.0553	1996	2128	75653	66000	70000	16200	13800	55
Hackney	51.545	-0.0553	1997	2902	89193	76998	71000	17200	13900	56
Hackney	51.545	-0.0553	1998	3034	103205	87500	75000	17555	14000	57
Hackney	51.545	-0.0553	1999	3165	128381	113000	79000	18700	14400	57
Hackney	51.545	-0.0553	2000	2826	155478	135000	78000	20000	15800	58
Hackney	51.545	-0.0553	2001	3401	178984	160000	72000	22400	17700	62
Hackney	51.545	-0.0553	2002	3743	204119	180000	76000	21300	17300	65
Hackney	51.545	-0.0553	2003	2851	224569	195000	73000	21500	17000	59
Hackney	51.545	-0.0553	2004	3413	236936	215000	86000	22900	18000	61
Hackney	51.545	-0.0553	2005	2607	249624	220000	92000	24600	19300	65
Hackney	51.545	-0.0553	2006	3479	275795	245000	99000	25300	18400	68
Hackney	51.545	-0.0553	2007	3632	313566	264000	93000	27900	20900	72
Hackney	51.545	-0.0553	2008	1740	318166	265000	100000	28000	21000	75
Hackney	51.545	-0.0553	2009	1882	313700	275000	102000	29800	22200	79
Hackney	51.545	-0.0553	2010	2228	345288	290500	99000	29500	22300	79
Hackney	51.545	-0.0553	2011	2246	354522	310000	101000	31200	23300	89
Hackney	51.545	-0.0553	2012	2630	379410	325000	101000	32700	24300	91
Hackney	51.545	-0.0553	2013	2708	430254	375000	100000	36300	26000	95
Hackney	51.545	-0.0553	2014	2845	501633	430000	106000	37100	26000	99
Hackney	51.545	-0.0553	2015	2831	564761	490000	109000	40200	27800	103
Hackney	51.545	-0.0553	2016	2464	602843	535250	109000	40600	28000	102
Hackney	51.545	-0.0553	2017	2130	614955	530000	112000	43100	29400	101
Hackney	51.545	-0.0553	2018	2200	610000	550000	116000	44900	29600	100
Hackney	51.545	-0.0553	2019	2300	630000	550000	111000	47200	32400	98
Hackney	51.545	-0.0553	2020	2400	670000	570000	109000	49400	32800	102
Hackney	51.545	-0.0553	2021	2500	690000	580000	123000	52500	34300	103
Hammersmith and Fulham	51.4927	"	-0.2334"	1995	3038	137774	109500	65000	29000	17500	55
Hammersmith and Fulham	51.4927	"	-0.2334"	1996	3987	150521	122000	67000	30000	17920	56
Hammersmith and Fulham	51.4927	"	-0.2334"	1997	4242	176577	136000	68000	32000	18000	57
Hammersmith and Fulham	51.4927	"	-0.2334"	1998	3586	197311	159950	70000	33000	18500	58
Hammersmith and Fulham	51.4927	"	-0.2334"	1999	4339	240838	191500	72000	34900	19900	58
Hammersmith and Fulham	51.4927	"	-0.2334"	2000	3649	281619	222000	87000	35400	19300	59
Hammersmith and Fulham	51.4927	"	-0.2334"	2001	3688	306977	245000	83000	37500	21000	61
Hammersmith and Fulham	51.4927	"	-0.2334"	2002	4082	345434	265000	86000	35800	20800	64
Hammersmith and Fulham	51.4927	"	-0.2334"	2003	3409	357956	280000	83000	36200	19600	65
Hammersmith and Fulham	51.4927	"	-0.2334"	2004	3784	386124	300250	95000	38300	20800	68
Hammersmith and Fulham	51.4927	"	-0.2334"	2005	3244	418105	325000	87000	43100	23000	71
Hammersmith and Fulham	51.4927	"	-0.2334"	2006	4181	453325	350000	92000	46200	22800	75
Hammersmith and Fulham	51.4927	"	-0.2334"	2007	3858	534857	415000	103000	48600	23600	81
Hammersmith and Fulham	51.4927	"	-0.2334"	2008	1664	565249	435000	100000	50000	24000	83
Hammersmith and Fulham	51.4927	"	-0.2334"	2009	1953	555613	420000	93000	52900	26700	85
Hammersmith and Fulham	51.4927	"	-0.2334"	2010	2508	622446	460000	96000	52000	27100	56
Hammersmith and Fulham	51.4927	"	-0.2334"	2011	2718	638126	465000	98000	52700	27600	92
Hammersmith and Fulham	51.4927	"	-0.2334"	2012	2626	675674	490000	93000	54300	27600	93
Hammersmith and Fulham	51.4927	"	-0.2334"	2013	3005	766921	561440	93000	61300	30100	99
